RegionName,City,CountyName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10
94501,Alameda,Alameda,481350.0,500500.0,426750.0,474500.0,,647750.0,687750.0,636500.0,638500.0,628750.0,662000.0,590250.0,557000.0,,600000.0,629705.8824,668750.0,692750.0,663250.0,628750.0,692500.0,736175.0
94536,Fremont,Alameda,515000.0,511750.0,565250.0,571550.0,610900.0,634300.0,624250.0,615000.0,600250.0,598750.0,581000.0,555250.0,558000.0,548700.0,579075.0,654325.0,706150.0,680250.0,669200.0,656800.0,676250.0,685250.0
94544,Hayward,Alameda,294250.0,296350.0,307150.0,325750.0,336650.0,359900.0,373700.0,385000.0,371000.0,380250.0,391500.0,387250.0,386600.0,380400.0,387250.0,402500.0,404850.0,,350750.0,405250.0,419000.0,423000.0
94538,Fremont,Alameda,450850.0,451150.0,424600.0,461400.0,483875.0,533000.0,553025.0,552850.0,529050.0,545950.0,546700.0,555300.0,563691.0,582088.7,574152.3,602750.0,604750.0,621700.0,611800.0,612750.0,617750.0,643000.0
94541,Hayward,Alameda,262200.0,268000.0,306750.0,322750.0,322250.0,344500.0,372600.0,390000.0,396900.0,381750.0,375250.0,389750.0,392875.0,386675.0,391025.0,386925.0,402500.0,403650.0,410350.0,419750.0,422400.0,418850.0
94587,Union City,Alameda,383700.0,404825.0,426125.0,470435.0,489265.0,477250.0,492050.0,479450.0,434600.0,456350.0,488800.0,496500.0,516600.0,471900.0,500500.0,461250.0,496000.0,515550.0,578700.0,593250.0,580250.0,565000.0
94568,Dublin,Alameda,528050.0,480250.0,539000.0,593375.0,610925.0,616550.0,587150.0,600500.0,625250.0,662525.0,679225.0,703000.0,667600.0,636400.0,635400.0,650350.0,666000.0,685250.0,683750.0,678750.0,672500.0,652750.0
94611,Oakland,Alameda,,595153.8462,726058.8235,765350.0,802350.0,861650.0,843000.0,747175.0,762825.0,769250.0,755800.0,699450.0,760150.0,805350.0,904750.0,895250.0,891950.0,840050.0,787000.0,800450.0,775350.0,814700.0
94577,San Leandro,Alameda,364875.0,350500.0,388450.0,387050.0,374700.0,374300.0,406250.0,417500.0,413000.0,414000.0,415250.0,438250.0,423250.0,416500.0,439750.0,465900.0,460500.0,427600.0,437250.0,454350.0,427250.0,406400.0
94546,Castro Valley,Alameda,418700.0,431250.0,460850.0,486650.0,512750.0,507500.0,529900.0,533350.0,534750.0,520700.0,527800.0,527900.0,517775.0,485925.0,491900.0,559500.0,577400.0,563850.0,538000.0,581500.0,569450.0,548450.0
94550,Livermore,Alameda,522950.0,498325.0,517975.0,545250.0,558950.0,563050.0,667500.0,669250.0,618500.0,587250.0,634750.0,640200.0,610925.0,570875.0,616650.0,643600.0,665250.0,638050.0,639450.0,648000.0,667300.0,628600.0
94539,Fremont,Alameda,821900.0,834750.0,923250.0,960800.0,995000.0,980300.0,1076200.0,1020250.0,976750.0,922000.0,932500.0,963000.0,909350.0,930150.0,918750.0,987300.0,1037950.0,1057000.0,1203000.0,1244500.0,1197650.0,1129850.0
94566,Pleasanton,Alameda,747250.0,751000.0,802000.0,815925.0,851825.0,860025.0,863725.0,855350.0,838400.0,861225.0,870375.0,868150.0,871000.0,873900.0,866925.0,886475.0,897200.0,942500.0,928200.0,886950.0,852850.0,866850.0
94610,Oakland,Alameda,,,450000.0,,581375.0,500375.0,542500.0,626000.0,617250.0,550750.0,465500.0,,556923.0769,516882.3529,619450.0,762250.0,765375.0,,620000.0,525500.0,,570750.0
94605,Oakland,Alameda,277350.0,274900.0,311750.0,305450.0,303550.0,308500.0,363000.0,387200.0,,299250.0,287750.0,349750.0,320200.0,323050.0,308750.0,360950.0,382800.0,394800.0,377950.0,383800.0,417700.0,421250.0
94601,Oakland,Alameda,,275000.0,260294.1176,,273076.9231,,,,320000.0,,,,,,,318000.0,336235.2941,352350.0,330600.0,324100.0,,335692.3077
94606,Oakland,Alameda,,318000.0,329176.4706,,,,,,,,360000.0,,,,,,,,410000.0,,425384.6154,
94578,San Leandro,Alameda,269000.0,,325769.2308,350941.1765,363200.0,375050.0,366800.0,366400.0,375250.0,367750.0,,378076.9231,,,375000.0,401470.5882,410750.0,428250.0,431250.0,414000.0,420250.0,411500.0
94551,Livermore,Alameda,373650.0,390000.0,419900.0,448000.0,456250.0,455000.0,466450.0,488800.0,493100.0,481700.0,493700.0,485200.0,504150.0,536900.0,559000.0,547500.0,529250.0,500800.0,516200.0,526350.0,509150.0,525250.0
94608,Oakland,Alameda,307300.0,,378076.9231,323235.2941,351250.0,401350.0,406900.0,401500.0,450250.0,429250.0,375500.0,375750.0,428750.0,414500.0,395050.0,463535.0,463515.0,457250.0,447500.0,458350.0,413500.0,377825.0
94560,Newark,Alameda,341225.0,374500.0,399250.0,424250.0,456475.0,489275.0,445900.0,437850.0,456000.0,478000.0,504250.0,471500.0,500250.0,,544307.6923,553823.5294,532750.0,550000.0,570250.0,583500.0,565000.0,567000.0
94588,Pleasanton,Alameda,610900.0,569850.0,557000.0,617950.0,692800.0,710875.0,694125.0,694450.0,685800.0,699500.0,584000.0,611000.0,655950.0,660550.0,640750.0,658950.0,727575.0,763725.0,774450.0,761350.0,757950.0,718400.0
94602,Oakland,Alameda,431200.0,477300.0,516000.0,597250.0,620000.0,590550.0,510950.0,579500.0,547650.0,540100.0,568200.0,570800.0,,,510000.0,636470.5882,680250.0,728750.0,677500.0,689500.0,697500.0,704750.0
94607,Oakland,Alameda,272000.0,,255076.9231,273529.4118,,273076.9231,329764.7059,345750.0,353450.0,,357692.3077,321764.7059,319750.0,355500.0,331500.0,335400.0,365850.0,431500.0,482300.0,439700.0,399150.0,412350.0
94555,Fremont,Alameda,514750.0,543050.0,593500.0,631800.0,646700.0,681750.0,692725.0,688875.0,666650.0,646500.0,624400.0,641100.0,637250.0,681350.0,730150.0,749000.0,778000.0,768500.0,735750.0,709750.0,693100.0,717050.0
94609,Oakland,Alameda,,,,,,,668500.0,,,675000.0,653823.5294,612400.0,,,,,650000.0,652941.1765,,752692.3077,683470.5882,747375.0
94545,Hayward,Alameda,301500.0,315475.0,353325.0,372950.0,389000.0,383750.0,398750.0,414500.0,346350.0,368400.0,400000.0,425250.0,450700.0,430300.0,,446153.8462,448235.2941,435500.0,447250.0,481500.0,473250.0,431500.0
94603,Oakland,Alameda,143730.7692,131176.4706,154275.0,,157000.0,,,206000.0,220117.6471,,183846.1538,,,260000.0,,208461.5385,226529.4118,243950.0,229250.0,232550.0,240035.0,253215.0
94619,Oakland,Alameda,388075.0,378750.0,392400.0,401050.0,468150.0,529350.0,477250.0,453550.0,435160.0,429640.0,,462538.4615,472647.0588,,,520000.0,557058.8235,584550.0,591700.0,605500.0,565000.0,552675.0
94580,San Lorenzo,Alameda,321176.4706,337000.0,358250.0,346250.0,352500.0,376550.0,389450.0,386500.0,389750.0,390775.0,403475.0,403750.0,,,400000.0,420588.2353,427750.0,423600.0,444900.0,444250.0,457750.0,447250.0
94612,Oakland,Alameda,,,,,,,,,,,,,,,,,,,,,,
94621,Oakland,Alameda,,139000.0,,147461.5385,,173076.9231,,,,,,,,,,185000.0,194411.7647,205600.0,215400.0,,,
94703,Berkeley,Alameda,,,,,,,,,,,,,,,,,,,,,,
94706,Albany,Alameda,,,,645000.0,624411.7647,,633076.9231,628235.2941,,,510000.0,557058.8235,,,625000.0,669705.8824,654100.0,611150.0,586850.0,,,
94702,Berkeley,Alameda,,,,,,638000.0,,,,,585000.0,,,,,,605000.0,,639615.3846,682352.9412,,
94618,Oakland,Alameda,,851000.0,,811769.2308,788235.2941,778000.0,836000.0,877650.0,808100.0,786250.0,850500.0,,,,800000.0,829411.7647,787500.0,911500.0,956250.0,1066925.0,970825.0,1045000.0
94579,San Leandro,Alameda,,,340000.0,387058.8235,393000.0,399500.0,425000.0,433550.0,,410769.2308,401470.5882,420400.0,,,455000.0,,,,,,490000.0,
94705,Berkeley,Alameda,,,,,,,,,,,,,,,,,,1250000.0,1266470.5882,,,
94709,Berkeley,Alameda,,,,,,,,,,,,,,,,,,,,,,
94707,Berkeley,Alameda,,,,,,,,,,,,,,,,1020000.0,,,1100000.0,,,
94502,Alameda,Alameda,,,,550000.0,,,600000.0,,691538.4615,,,,,,660000.0,,636923.0769,761176.4706,685550.0,722700.0,,633076.9231
94552,Castro Valley,Alameda,583076.9231,,690000.0,722941.1765,,738076.9231,734941.1765,,,695000.0,,,,,,,,780000.0,791764.7059,,776153.8462,725470.5882
94708,Berkeley,Alameda,,,,,,,,,,,,965000.0,,,,,950000.0,,,,,1050000.0
94542,Hayward,Alameda,,,550000.0,,,387000.0,409352.9412,509300.0,550500.0,560750.0,,,,,,,,,,,,
94710,Berkeley,Alameda,,,,,,,,,,,,,,,,,,,,,,
